PERIOD,LOCATION,OBSERVED_OR_FORECAST_VALUE,LOG1P_VALUE,TREND_COMPONENT,SEASONAL_COMPONENT,RESIDUAL_COMPONENT,RESIDUAL_Z_SCORE,RESIDUAL_ANOMALY,TREND_STRENGTH,SEASONAL_STRENGTH,SERIES_STATUS
2022-01,KIDAPAWAN,1.0,0.6931471805599453,0.7553464884831751,-0.0006777336059675204,-0.06152157431726229,-0.24889491092928012,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,2.0,1.0986122886681098,0.8131087535298372,-0.0006777336059675204,0.28618126874424005,1.1592001333288393,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,0.0,0.0,0.8131087535298372,-0.0006777336059675204,-0.8124310199238697,-3.2898590276887436,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,2.0,1.0986122886681098,0.7793199945208236,-0.0006777336059675204,0.3199700277532537,1.296034746739833,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,4.0,1.6094379124341003,0.7793199945208236,-0.0006777336059675204,0.8307956515192443,3.3647294487205253,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,3.0,1.3862943611198906,0.7793199945208236,-0.0006777336059675204,0.6076521002050346,2.4610631858935674,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,1.0,0.6931471805599453,0.7215577294741614,-0.0006777336059675204,-0.027732815308248608,-0.11206029751828653,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,0.0,0.0,0.6637954644274994,-0.0006777336059675204,-0.6631177308215318,-2.68518378093014,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2022-01,KIDAPAWAN,1.0,0.6931471805599453,0.6877689704651476,-0.0006777336059675204,0.006055943700765185,0.024774315892707545,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,1.0,0.6931471805599453,0.7793199945208235,-0.0006777336059675204,-0.08549508035491064,-0.34598061419209114,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,1.0,0.6931471805599453,0.7793199945208236,-0.0006777336059675204,-0.08549508035491075,-0.3459806141920916,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,0.0,0.0,0.7367511925403244,-0.0006777336059675204,-0.7360734589343568,-2.9806331891126923,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,0.0,0.0,0.7553464884831751,-0.0006777336059675204,-0.7546687548772075,-3.0559387110149383,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,3.0,1.3862943611198906,0.7891352474921888,-0.0006777336059675204,0.5978368472336694,2.4213142757453854,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,2.0,1.0986122886681098,0.8468975125388508,-0.0006777336059675204,0.2523925097352265,1.0223655199178463,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,2.0,1.0986122886681098,0.8468975125388508,-0.0006777336059675204,0.2523925097352265,1.0223655199178463,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,2.0,1.0986122886681098,0.8468975125388508,-0.0006777336059675204,0.2523925097352265,1.0223655199178463,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,4.0,1.6094379124341003,0.8806862715478646,-0.0006777336059675204,0.7294293744922032,2.9542256084875445,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,2.0,1.0986122886681098,0.9722372956035404,-0.0006777336059675204,0.12705272667053685,0.5147759764220535,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,1.0,0.6931471805599453,1.0299995606502026,-0.0006777336059675204,-0.3361746464842898,-1.3611597011836762,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2023-01,KIDAPAWAN,1.0,0.6931471805599453,0.9722372956035404,-0.0006777336059675204,-0.27841238143762764,-1.1272393845098712,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,1.0,0.6931471805599453,0.9722372956035404,-0.0006777336059675204,-0.27841238143762764,-1.1272393845098712,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,2.0,1.0986122886681098,0.9962108016411889,-0.0006777336059675204,0.1030792206328884,0.41769027315924206,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,2.0,1.0986122886681098,0.9962108016411889,-0.0006777336059675204,0.1030792206328884,0.41769027315924206,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,1.0,0.6931471805599453,0.9536419996606896,-0.0006777336059675204,-0.25981708549477683,-1.0519338626076247,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,1.0,0.6931471805599453,0.9536419996606896,-0.0006777336059675204,-0.25981708549477683,-1.0519338626076247,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,2.0,1.0986122886681098,0.8958797346140276,-0.0006777336059675204,0.2034102876600497,0.8240018149981047,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,3.0,1.3862943611198906,0.8958797346140276,-0.0006777336059675204,0.4910923601118305,1.9890302541518388,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,2.0,1.0986122886681098,0.8897962984633031,-0.0006777336059675204,0.2094937238107742,0.8486379560790122,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,2.0,1.0986122886681098,0.9272395404395987,-0.0006777336059675204,0.17205048183447863,0.6970037531385044,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,2.0,1.0986122886681098,0.9731663408944127,-0.0006777336059675204,0.12612368137966462,0.5110136141173623,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,0.0,0.0,1.046772777226851,-0.0006777336059675204,-1.0460950436208833,-4.236130133475989,1,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2024-01,KIDAPAWAN,1.0,0.6931471805599453,1.0650737877938437,-0.0006777336059675204,-0.37124887362793085,-1.50320008540167,0,0.6565761668958854,0.0,HISTORICAL DEVELOPMENT DATA
2025-01,KIDAPAWAN,0.859199366153831,0.6201459467512526,1.0849888490506077,-0.0006777336059675204,-0.4641651686933876,-1.879483964648963,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-02,KIDAPAWAN,3.701733132707158,1.5479311923836572,1.0572638981148625,6.161214599704732e-05,0.4906056821227976,1.9870593503235212,0,0.6565761668958854,0.0,FORECAST SCENARIO
2025-03,KIDAPAWAN,4.205594403604249,1.6497338941258772,1.0706072181002713,6.161214599704732e-05,0.5790650638796089,2.345294031332071,1,0.6565761668958854,0.0,FORECAST SCENARIO
2025-04,KIDAPAWAN,3.837627509440557,1.5764244165492036,1.0521857857429329,6.161214599704732e-05,0.5241770186602737,2.1230134661752005,1,0.6565761668958854,0.0,FORECAST SCENARIO
2025-05,KIDAPAWAN,1.491187009089186,0.9127593073638597,1.0668235857999002,6.161214599704732e-05,-0.15412589058203757,-0.6239153670786048,0,0.6565761668958854,0.0,FORECAST SCENARIO
