PERIOD,PSGC,PROVINCE,LOCATION,POPULATION,PLHIV_UNDIAGNOSED,PLHIV_DIAGNOSED_NOT_ON_ART,PLHIV_ON_ART_UNSUPPRESSED,PLHIV_VIRALLY_SUPPRESSED,TOTAL_PLHIV,EFFECTIVE_INFECTIOUS_POOL,NEW_INFECTIONS_ESTIMATE,PREDICTED_CASES,NEW_ART_ENROLLMENTS,NEWLY_VIRALLY_SUPPRESSED,TREATMENT_INTERRUPTION,PLHIV_ATTRITION,ART_COVERAGE,VIRAL_SUPPRESSION_COVERAGE,INFECTIOUS_POOL_REDUCTION_FROM_TREATMENT,TREATMENT_DECOMPOSITION_RATE,TESTING_ACCESS_SCORE,ACTIVE_TESTING_CENTERS
2025-01,1204701000,Cotabato,ALAMADA,72023.71713080401,35.51058461277724,11.40387508523978,21.83683824020198,8.518704667107954,77.27000260532695,52.00586256829721,0.1882533366186223,0.1223795650558172,0.976572223467185,1.1583358084252946,0.18699560677913457,0.08793928993784539,0.39285028968301394,0.11024594771426446,0.7651466128928485,0.014712699205556146,0.0,0.0
2025-01,1204702000,Cotabato,CARMEN,80297.8646177262,25.234714119274038,8.085219762406266,15.501806402014447,6.0476618663111825,54.86940215000593,34.47140316320636,0.14655746806448733,0.07517192841389203,0.6923639794425692,0.8222938345383706,0.13274791923610954,0.06245426198078968,0.39274108016362447,0.11021920468128389,0.5426603584991712,0.015742334477361484,0.0,0.0
2025-01,1204703000,Cotabato,KABACAN,78511.01947965726,59.80272355396301,18.991517357824463,36.74556609137378,14.590951544741491,130.13075854790276,88.68382407246709,0.3043237097649649,0.20403048720427291,1.845898021983527,2.1937009273664376,0.30339877425407835,0.1479147500360225,0.39449948812230784,0.11212530924708611,1.4470280394565693,0.016316707749026983,0.059362790307662096,0.0
2025-01,1204704000,Cotabato,KIDAPAWAN,162318.95022669027,131.72791445540142,38.65295921967584,80.40556546238233,36.463501043288716,287.2499401807483,197.71151128230184,0.8263840004704048,0.859199366153831,7.520191228849706,9.097177816381578,0.4718028406130065,0.3232951729821525,0.4068549724749558,0.12693997784766997,5.924001007393017,0.029962853295549638,0.5114164634854681,1.0
2025-01,1204705000,Cotabato,LIBUNGAN,58190.82321313329,41.15428790663036,13.373049889244836,25.37128046408105,9.998812190433776,89.89743045039003,56.42185921337714,0.3406857607286041,0.37881845223398697,1.2395569297775375,1.4487230404161449,0.2124907316925284,0.10220550862500379,0.39344942872459343,0.1112246717213083,0.9673175972481025,0.017144376501133797,0.03626492129600214,0.0
2025-01,1204706000,Cotabato,MAGPET,55636.147349053375,28.906880395864913,9.28286438192287,17.793643561433527,7.00613902138643,62.98952736060774,43.02468575888398,0.16522467152286135,0.14704701130204254,0.8519916753086938,1.0068962769880005,0.14945909429624835,0.07162816836308554,0.39371279039520457,0.11122704543053795,0.6668765847837956,0.015499859511375865,0.031688322625244014,0.0
2025-01,1204707000,Cotabato,MAKILALA,89169.32567881378,50.88940952902604,16.057706548492614,31.21706847311879,12.496804873513438,110.66098942415088,72.97236381366545,0.30737828813603496,0.17332733644924195,1.6474523737793698,1.9599543079958,0.25333757904825704,0.12573555814798065,0.3950251445799202,0.11292872889121404,1.2918396284934848,0.017703135282724162,0.08664111727728892,0.0
2025-01,1204708000,Cotabato,MATALAM,82197.1220451093,45.35296485356849,14.361650191728426,27.84548681373209,11.10180607633164,98.66190793536065,65.43845351763245,0.2602695025880116,0.15944731503039972,1.4345977643299548,1.7052843893464344,0.22794404558703002,0.11212305486172691,0.39475511577964256,0.11252373189058032,1.1246719157504326,0.01718671293855361,0.07300973058182161,0.0
2025-01,1204709000,Cotabato,MIDSAYAP,116627.23581293273,80.67543376060964,23.414317436586835,49.184334589243576,22.61924500391403,175.89333079035407,120.865611521827,0.48220624012747304,0.49613422180848055,4.821110041145739,5.857186260875469,0.2759102237185011,0.1977561704821119,0.4082222974033038,0.12859637657822137,3.8023262504106556,0.03145912391899823,0.559142369034768,1.0
2025-01,1204710000,Cotabato,M'LANG,99394.04480800494,84.17745253901901,24.114860312858912,51.3135089936311,24.13068113421492,183.73650297972392,125.82582887005648,0.43734550600572836,0.5642753012901947,5.418401758071032,6.6092526109590715,0.26635798022865653,0.20616827113911793,0.4106107872107025,0.1313330815754006,4.278154472073122,0.03400060631820896,0.6360873683787156,1.0
