PERIOD,BASE_REGIONAL_SCENARIO_CASES,REGIONAL_SCENARIO_CASES,REGIONAL_DYNAMIC_RATIO,ALLOCATED_MUNICIPAL_CASES,NEW_INFECTIONS_ESTIMATE,NEW_ART_ENROLLMENTS,NEWLY_VIRALLY_SUPPRESSED,TREATMENT_INTERRUPTION,PLHIV_ATTRITION,TOTAL_POPULATION,PLHIV_UNDIAGNOSED,PLHIV_DIAGNOSED_NOT_ON_ART,PLHIV_ON_ART_UNSUPPRESSED,PLHIV_VIRALLY_SUPPRESSED,TOTAL_PLHIV,EFFECTIVE_INFECTIOUS_POOL,ACTIVE_TESTING_CENTERS,NEW_TESTING_CENTERS_OPENED,PENDING_TESTING_CENTERS,MEAN_TESTING_ACCESS_SCORE,MEAN_ART_COVERAGE,MEAN_VIRAL_SUPPRESSION_COVERAGE,LOWER_95_SUM,UPPER_95_SUM,HOT_SPOT_MUNICIPALITIES,HIGH_OR_CRITICAL_PRESSURE,ACTIVE_ALERTS,GLOBAL_MORANS_I,MAX_TRANSMISSION_PRESSURE,REGIONAL_PLHIV_PREVALENCE_PER_100K,REGIONAL_EFFECTIVE_INFECTIOUS_POOL_PER_100K
2025-01,17.710386131753914,21.407582006949518,1.2087586260226535,21.40758200694952,22.53642229537865,175.22162882785832,211.48913806246682,14.211780969718214,8.708568380241116,4499007.720856191,3539.5469233867498,1064.9341035565292,2164.6267313561834,946.4410808349966,7715.548839134459,5371.040169002639,17.0,0,0,0.20424884917049696,0.3984483489148369,0.1169100864855899,1.0603617118691604,95.3859257050872,11,11,12,0.2826852360095222,89.99765651155987,171.4944565079817,119.38277287464835
2025-02,90.3186974874195,100.14573336250876,1.108804003472903,100.14573336250876,31.135253771957718,164.9220698359416,205.72465214226327,14.49396272128789,8.575812758760687,4503582.2443257235,3467.1972395280573,1013.4300645158793,2110.892000792224,1148.443346663215,7739.962651499375,5183.754504633996,17.0,0,0,0.20412372118549185,0.41221692118593384,0.13716884787367353,23.232554701745364,218.94043035461993,12,11,13,0.33708227463891594,91.96060585845218,171.86235826494166,115.102916376519
2025-03,111.4679016532982,114.04994193022152,1.0231639802905264,114.04994193022152,32.91164371265243,158.30158177130582,199.8578775787994,14.759639026526177,8.447381698865549,4508253.88151881,3383.032047976564,982.7530854938253,2056.7124484007345,1343.9684326721988,7766.466014543323,4935.8959866862015,17.0,0,0,0.20399576628235655,0.4253556886279557,0.15669804427693607,26.55193255703742,241.23869074683404,12,11,13,0.37050155700630516,96.56701557964729,172.2721527813965,109.48575915212923
2025-04,97.46719388848496,93.5755519904187,0.9600722895283228,93.57555199041869,30.331785370222764,149.9329303643731,193.74763576390055,15.000148924329674,8.327833438102502,4513022.563374724,3317.0473055886023,940.2616700422213,2000.5931971375555,1532.79249108313,7790.694663851509,4752.292218846518,17.0,0,0,0.20386500495581825,0.4379201220451878,0.17559367292092712,19.52828773978385,210.8190393452803,12,11,12,0.397760390747818,90.03552676397315,172.6269823482962,105.30176067395671
2025-05,39.50248903309876,39.61512868915602,1.002851457181923,39.61512868915602,22.524555736170445,134.83135430574606,186.7576444566344,15.185120855050716,8.222291666349369,4517859.935380532,3297.3820134029575,859.193707792561,1936.7239630565196,1714.0579784332626,7807.357662685301,4667.860191267564,17.0,0,0,0.20373232017586676,0.4495358321857615,0.19393063816242911,4.152168193766991,127.02707726222756,11,11,12,0.36752816148923095,90.28775105767376,172.81097188391917,103.32016171445113
2025-06,77.5333318059446,72.94878164246255,0.940869945135899,72.94878164246255,26.236789834157968,127.29436732520985,179.7492282300951,15.35020119582739,8.11863894783547,4522717.008912086,3248.217512808143,819.2097869728676,1872.6890352334356,1887.768784089558,7827.885119104004,4550.113988223094,17.0,0,26,0.20359921505122242,0.4602377962553706,0.2114676784516389,15.638135711863814,178.46750673749398,13,11,13,0.41894270308774584,88.05101802146076,173.07925973875953,100.6057637313372
2025-07,54.57177387936427,50.67647437050628,0.9286206177305342,50.67647437050627,22.524719141861546,117.76690744457949,172.54457088247383,15.4855829872097,8.023137706597911,4527537.3145962525,3217.6098029778095,766.6796997892967,1806.7061581259845,2053.7516085812194,7844.74726947431,4439.361520395583,17.0,0,29,0.20346740666395957,0.47026392916525067,0.2283845105858782,7.682887710222398,144.7770587980649,13,11,13,0.4291407942345691,88.8339685444007,173.2674238638246,98.05245571546367
2025-08,60.94472110740474,54.72356071868827,0.89792125920549,54.72356071868827,22.578756998406064,110.48548852204165,165.3967434327976,15.601501555609463,7.9324532532060905,4532272.038341911,3182.9245732073055,725.643834543348,1740.9645764545076,2212.0860615608253,7861.619045765987,4333.922073124098,17.0,0,30,0.20333836562346455,0.4795888169293948,0.24460826879163708,9.28960284734925,150.8596295896056,13,11,13,0.4404438504261117,91.36566162301705,173.45867545589977,95.62360856674486
2025-09,35.38380218735771,33.28118834552386,0.9405769388292281,33.28118834552386,19.04812219626729,101.05060766348188,158.0841254894542,15.688122783951371,7.849682684300632,4536893.087241061,3165.9904503037933,672.751193641822,1673.48649004213,2362.630545019523,7874.858679007269,4256.603569606545,17.0,0,30,0.2032129245359956,0.4881953836698602,0.26021549544481776,3.0333626812379375,117.13574887835736,13,11,13,0.443077254966431,96.72096375973078,173.5738208412591,93.82199420958884
2025-10,80.77140326319488,71.02954544379146,0.8793897663550623,71.02954544379146,24.420441495590204,98.89325800902215,151.35150673826422,15.778739482048922,7.767252646467648,4541400.582057489,3116.5676996542134,659.8708653373941,1610.9429607199413,2505.9864388887877,7893.367964600336,4166.101611065611,17.0,0,32,0.20309105935841584,0.49620718340935055,0.27500162508573184,14.579146300627059,176.20193096342575,13,11,14,0.4313039846317398,91.47196640291574,173.80911069122715,91.73605225501053
