PERIOD,PSGC,PROVINCE,LOCATION,POPULATION,MONTHLY_POPULATION_GROWTH_RATE,NATURAL_POPULATION_CHANGE,NET_MIGRATION_CHANGE,PLHIV_NET_MIGRATION,NEW_INFECTIONS_ESTIMATE,NEW_INFECTION_RATE_PER_100K,PREDICTED_CASES,DIAGNOSIS_GROWTH_RATIO,EFFECTIVE_INFECTIOUS_POOL,LOCAL_INFECTIOUS_PREVALENCE,NEIGHBOR_INFECTIOUS_PREVALENCE,NEIGHBOR_INFECTIOUS_POOL_PER_100K,NEIGHBOR_RATE_PER_100K,TESTING_ACCESS_SCORE,CENTER_EFFECT_ON_TRANSMISSION,ACTIVE_TESTING_CENTERS,NEW_TESTING_CENTERS_OPENED,PENDING_TESTING_CENTERS,TRANSMISSION_PRESSURE_INDEX,TRANSMISSION_PRESSURE_LEVEL,TESTING_CENTER_NEED_SCORE
2025-01,1204701000,Cotabato,ALAMADA,72023.71713080401,0.0006768618381940428,50.890420047898424,-2.1732892438931373,-0.002328567044026666,0.1882533366186223,0.2613768687843907,0.1223795650558172,0.3671386951674516,52.00586256829721,0.0007220657949915041,0.0007672593068823683,76.72593068823683,3.892708961076052,0.0,0.0,0.0,0,0,18.10549977489087,LOW,44.16365775910765
2025-01,1204702000,Cotabato,CARMEN,80297.8646177262,0.0006587901766614834,56.74361903059961,-3.879001304411301,-0.002646549158906577,0.14655746806448733,0.18251726713058067,0.07517192841389203,0.7517192841389203,34.47140316320636,0.00042929414533392966,0.0008555049034270118,85.55049034270118,5.665749672519725,0.0,0.0,0.0,0,0,21.460708212081155,LOW,46.21908763093367
2025-01,1204703000,Cotabato,KABACAN,78511.01947965726,0.0007778136348917108,56.617458728678514,4.402020928581319,0.007534008219844886,0.3043237097649649,0.38761910338435646,0.20403048720427291,0.3060457308064094,88.68382407246709,0.0011295716787303428,0.0008152500254125471,81.52500254125471,6.310417261493344,0.059362790307662096,0.010685302255379177,0.0,0,0,35.481254341205215,LOW,58.482761159023134
2025-01,1204704000,Cotabato,KIDAPAWAN,162318.95022669027,0.0012148272701439922,137.36715232163195,59.583074368643736,0.1019757468989731,0.8263840004704048,0.5091112278118477,0.859199366153831,0.5155196196922985,197.71151128230184,0.0012180433092142556,0.0008846771448316067,88.46771448316066,6.961765709742675,0.5114164634854681,0.09205496342738426,1.0,0,0,44.13445703097996,LOW,61.37485445808233
2025-01,1204705000,Cotabato,LIBUNGAN,58190.82321313329,0.0009085832524904358,40.78293032842788,12.040282804858267,0.02060680562241073,0.3406857607286041,0.5854630368104392,0.37881845223398697,3.7881845223398694,56.42185921337714,0.000969600636284573,0.0007636440364210562,76.36440364210561,4.133831896385035,0.03626492129600214,0.006527685833280385,0.0,0,0,37.1330499397281,LOW,51.30907310865746
2025-01,1204706000,Cotabato,MAGPET,55636.147349053375,0.0006501321772189872,38.91937455699335,-2.772025503620887,-0.003133738274812233,0.16522467152286135,0.2969736033055362,0.14704701130204254,0.44114103390612763,43.02468575888398,0.0007733225215785189,0.0009032668317953453,90.32668317953451,6.2941230312826475,0.031688322625244014,0.005703898072543922,0.0,0,0,25.56114818067106,LOW,41.14598843811841
2025-01,1204707000,Cotabato,MAKILALA,89169.32567881378,0.0008566966968648337,64.09040604633032,12.235272767445561,0.020940528702049377,0.30737828813603496,0.344713034214485,0.17332733644924195,0.5199820093477259,72.97236381366545,0.0008183572462632556,0.001069393818149811,106.9393818149811,8.710658184423183,0.08664111727728892,0.015595401109912005,0.0,0,0,38.12739709259,LOW,59.14228941745881
2025-01,1204708000,Cotabato,MATALAM,82197.1220451093,0.0007685251553473105,58.85455943487613,4.267485674426686,0.007303752678786706,0.2602695025880116,0.31664065129333513,0.15944731503039972,0.47834194509119915,65.43845351763245,0.0007961161156192332,0.0011207425426564516,112.07425426564515,9.477518307244317,0.07300973058182161,0.01314175150472789,0.0,0,0,39.96848335473048,LOW,59.271938293165945
2025-01,1204709000,Cotabato,MIDSAYAP,116627.23581293273,0.0010234130955191212,86.26521266741462,32.970600265330965,0.05642880337060959,0.48220624012747304,0.4134593748761397,0.49613422180848055,0.49613422180848055,120.865611521827,0.0010363412172066954,0.000906880488688382,90.6880488688382,6.152325989290878,0.559142369034768,0.10064562642625824,1.0,0,0,31.9676111960841,LOW,42.60504495391554
2025-01,1204710000,Cotabato,M'LANG,99394.04480800494,0.000936997693929964,73.14837995262775,19.896428052312405,0.034052507910266504,0.43734550600572836,0.4400117802334428,0.5642753012901947,0.5642753012901947,125.82582887005648,0.0012659292527344938,0.0009964737077798127,99.64737077798127,7.919420581035029,0.6360873683787156,0.1144957263081688,1.0,0,0,48.782975448016195,MODERATE,52.85808501952735
2025-01,1204711000,Cotabato,PIGKAWAYAN,53967.59281166494,0.0007341791215127458,37.80299495226195,1.7898167126759494,0.0030632507305371065,0.16373106435837634,0.30338774777256017,0.09787033971862273,0.9787033971862272,44.20062402702784,0.0008190215965584814,0.0008458332156380385,84.58332156380385,5.070827887372156,0.0,0.0,0.0,0,0,34.005917804631196,LOW,51.024822567019214
