PSGC,PROVINCE,LOCATION,POPULATION_2024,DENSITY_2024,ESTIMATED_TESTING_CENTERS_2024,AREA_KM2_APPROX,REPRESENTATIVE_LATITUDE,REPRESENTATIVE_LONGITUDE,BOUNDARY_SOURCE,CASE_DATA_STATUS
1206306000,South Cotabato,KORONADAL,203512.0,734.7,2.0,275.5902,6.457459996500063,124.87198771160266,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206319000,South Cotabato,LAKE SEBU,84799.0,120.796,0.0,855.9451,6.25043296450005,124.59933698219831,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206311000,South Cotabato,NORALA,48804.0,397.751,0.0,129.7321,6.535893602000044,124.67494370118368,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206312000,South Cotabato,POLOMOLOK,177933.0,524.876,1.0,313.5331,6.25675621350004,125.05366813468169,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206318000,South Cotabato,SANTO NIÑO,41282.0,375.632,0.0,77.9444,6.452546875000053,124.66731624226148,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206313000,South Cotabato,SURALLAH,92017.0,170.307,1.0,265.7826,6.3366109715000505,124.71328545020998,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206316000,South Cotabato,T'BOLI,105989.0,118.318,1.0,816.6619,6.152900924500045,124.91865129375003,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206314000,South Cotabato,TAMPAKAN,42567.0,108.951,0.0,254.9649,6.4734299470000565,125.03074388600746,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206315000,South Cotabato,TANTANGAN,48877.0,385.465,0.0,130.4797,6.579105847000051,124.75303750252567,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206317000,South Cotabato,TUPI,79112.0,346.982,0.0,296.8103,6.349407167500061,124.969183146988,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206501000,Sultan Kudarat,BAGUMBAYAN,70277.0,104.563,0.0,561.4025,6.497472548000047,124.49796148205306,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206502000,Sultan Kudarat,COLUMBIO,33540.0,39.366,0.0,304.2525,6.648907176000051,125.00081646778416,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206503000,Sultan Kudarat,ESPERANZA,74295.0,229.093,0.0,224.7048,6.726797116500023,124.50031927209425,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206504000,Sultan Kudarat,ISULAN,102136.0,188.686,1.0,526.5717,6.612511936500056,124.42076175749253,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206505000,Sultan Kudarat,KALAMANSIG,52580.0,75.2,0.0,478.3592,6.512581724412372,124.15735376442048,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206508000,Sultan Kudarat,LAMBAYONG,81813.0,329.36,0.0,190.122,6.7821666160000404,124.63522173027269,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206506000,Sultan Kudarat,LEBAK,93918.0,182.72,0.0,468.9201,6.672346112500037,124.15829135137514,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206507000,Sultan Kudarat,LUTAYAN,65834.0,242.93,0.0,167.6931,6.613379301144857,124.91435595257533,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206509000,Sultan Kudarat,PALIMBANG,84161.0,173.886,0.0,802.2554,6.2730267465000145,124.28673738512595,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206510000,Sultan Kudarat,PRESIDENT QUIRINO,44616.0,214.088,0.0,109.211,6.717863733000013,124.73549844626541,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206512000,Sultan Kudarat,SEN. NINOY AQUINO,48296.0,58.583,0.0,272.27,6.432848202500054,124.34689587732177,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
1206511000,Sultan Kudarat,TACURONG,117841.0,768.194,1.0,147.5172,6.664071803500065,124.67529587354255,GeoRiskPH PSA Municipal ArcGIS,CONSTRAINED DEVELOPMENT SIMULATION
